Date,Price,MarketCap,TotalVolume,Stablecoin,Currency
2023-08-05,0.9977607778123532,743289572,20331962,usdd,
2023-08-06,0.997685512967905,744173555,19107127,usdd,
2023-08-07,0.99758095122894,740794735,19862397,usdd,
2023-08-08,0.9983055331081792,741532772,23672602,usdd,
2023-08-09,0.9989591375560646,740266916,23998274,usdd,
2023-08-10,0.9985732941888624,740456810,25007901,usdd,
2023-08-11,0.9981148084791482,740891362,23020076,usdd,
2023-08-12,0.998223978878152,736186056,22652331,usdd,
2023-08-13,0.9977662016761712,735758332,24056723,usdd,
2023-08-14,0.9969452715303057,722908981,25000500,usdd,
2023-08-15,0.9964314590772456,723418595,28034204,usdd,
2023-08-16,0.996879772220197,723114944,26192404,usdd,
2023-08-17,0.9954384185365032,723271157,26239524,usdd,
2023-08-17,0.9952829715493308,721881250,30953827,usdd,
2023-08-04,1.0078828065806975,513441057,3605836,paxos-standard,
2023-08-05,0.9998610946204676,506435473,9627514,paxos-standard,
2023-08-06,1.0010363701637632,507549632,2010683,paxos-standard,
2023-08-07,0.9996065847553716,506842600,3665944,paxos-standard,
2023-08-08,1.0010067847486317,507344012,3304633,paxos-standard,
2023-08-09,1.0003340002109231,511184795,4265273,paxos-standard,
2023-08-10,1.0002365993364115,511281094,6657355,paxos-standard,
2023-08-11,0.9997572000224676,505945948,12855647,paxos-standard,
2023-08-12,0.9997818844596152,506177968,1544045,paxos-standard,
2023-08-13,1.0001418731062948,506100856,3300889,paxos-standard,
2023-08-14,0.9994939979209748,505894989,2275614,paxos-standard,
2023-08-15,0.9996896499621076,506036774,2246954,paxos-standard,
2023-08-16,0.9999741574413392,506052561,2465274,paxos-standard,
2023-08-17,1.000360511253106,506388765,2276938,paxos-standard,
2023-08-17,1.0003783272140212,506367670,5970489,paxos-standard,
2023-08-04,29176.15059658541,567940644790,12539132810,,Bitcoin
2023-08-05,29087.938086007627,565073127339,12112869085,,Bitcoin
2023-08-06,29046.8004570232,564970113457,5335308729,,Bitcoin
2023-08-07,29044.20437557756,564947914083,5360283576,,Bitcoin
2023-08-08,29178.147751873083,567529179865,13252185122,,Bitcoin
2023-08-09,29779.56167125089,579214283623,14603570418,,Bitcoin
2023-08-10,29585.48807737921,575535414817,14633310097,,Bitcoin
2023-08-11,29423.81891597763,572414205818,8106253519,,Bitcoin
2023-08-12,29396.8479714205,571976559045,4651950357,,Bitcoin
2023-08-13,29412.142274584105,572257798803,3994297895,,Bitcoin
2023-08-14,29284.96971374381,569687130446,4755220448,,Bitcoin
2023-08-15,29400.58680419105,572242735188,12408355477,,Bitcoin
2023-08-16,29170.490397060614,567498309102,11523395157,,Bitcoin
2023-08-17,28754.197021112574,559982624303,14809979642,,Bitcoin
2023-08-17,26335.105221395104,512841574625,26670411991,,Bitcoin
2023-08-04,1835.701302675286,220768212248,5908647350,,Ethereum
2023-08-05,1828.46119377611,219476177802,6229669774,,Ethereum
2023-08-06,1835.0705778421905,220487019493,2952349825,,Ethereum
2023-08-07,1826.7067792702176,219533986979,2992818475,,Ethereum
2023-08-08,1826.933485573052,219422824381,7660232552,,Ethereum
